author_id,openalex_id,name,orcid,institution,institution_id,faculty,department,total_works,total_citations,h_index,i10_index,two_year_mean_citedness,research_areas
"https://openalex.org/A5109671650","A5109671650","Michael Nagaku Milenn Salim","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","4","1","0","4","Human–computer interaction; Operating system; Physics; Engineering; Mathematics education"
"https://openalex.org/A5109742934","A5109742934","Gilang Aghistya Ramadhan","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","Advertising; Literature; Philosophy; Art; Business"
"https://openalex.org/A5109743859","A5109743859","Siti Sri Andini","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Teknik dan Ilmu Komputer","","1","1","1","0","1","Engineering; Sociology; Business; Marketing; Political science"
"https://openalex.org/A5109753472","A5109753472","Mohammed Irfan Helmy","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Advertising; Philosophy; Business; Marketing; Geometry"
"https://openalex.org/A5110474921","A5110474921","S.Kom Elsa Widiati","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","10","1","1","0","Physics; Philosophy; Humanities; Mathematics"
"https://openalex.org/A5110576969","A5110576969","R Juliana","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Teknik dan Ilmu Komputer","","1","1","1","0","0","Engineering management; Operating system; Architecture; Engineering; Art"
"https://openalex.org/A5110577519","A5110577519","Y S Puspita","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","6","1","0","0","Statistics; The Internet; Advertising; Data collection; World Wide Web"
"https://openalex.org/A5110584904","A5110584904","Annisa Paramitha F","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Physics; Gynecology; Medicine"
"https://openalex.org/A5110650786","A5110650786","JC Wibawa","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Welfare; Statistics; Philosophy; Business; Economics"
"https://openalex.org/A5110727181","A5110727181","Adam Mukharil Bachtiar","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","0","Multiprotocol Label Switching; Graph; Shortest path problem; Computer network; Computer science"
"https://openalex.org/A5110924971","A5110924971","Muhammad Iqbal Al Hafidz","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Desain","","1","1","1","0","0","Art; Humanities"
"https://openalex.org/A5110966070","A5110966070","Raeny Dwisanty","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Sociology; Business; Marketing; Socialization; Social science"
"https://openalex.org/A5110989091","A5110989091","Sulaksana Adi","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Teknik dan Ilmu Komputer","","1","0","0","0","0","Mathematics"
"https://openalex.org/A5111018788","A5111018788","Mohamad Indra Firmansyah","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Physics; Art; Humanities"
"https://openalex.org/A5111075673","A5111075673","Ayu Wulandari Wirawan Wahyudi","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","3","1","0","0","Philosophy; Pathology; Business; Virology; Archaeology"
"https://openalex.org/A5111121390","A5111121390","Dhara Pasya","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","1","1","0","1","The Internet; Architecture; World Wide Web; Local area network; Philosophy"
"https://openalex.org/A5111155894","A5111155894","Mohammad Ali","","Universitas Komputer Indonesia","https://openalex.org/I4210117444","Fakultas Lainnya","","1","0","0","0","0","Philosophy; Theology"
